Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R14        R0402                  17.8mm        10.1mm        17.8mm        10.1mm        17.3mm        10.1mm  B        360.00 0R             
R13        R0402                  20.6mm        11.7mm        20.6mm        11.7mm        20.6mm        11.2mm  B         90.00 0R             
R12        R0402                  65.2mm        30.4mm        65.2mm        30.4mm        65.2mm        29.9mm  B         90.00 240R           
R11        R0402                  65.2mm        32.6mm        65.2mm        32.6mm        65.2mm        32.1mm  B         90.00 240R           
R10        R0402                  37.9mm        23.6mm        37.9mm        23.6mm        37.9mm        23.1mm  T         90.00 240R           
R9         R0402                  52.7mm          24mm        52.7mm          24mm        53.2mm          24mm  B        180.00 240R           
R8         R0402                  52.6mm          38mm        52.6mm          38mm        53.1mm          38mm  T        180.00 240R           
R7         R0402                  33.5mm        14.1mm        33.5mm        14.1mm          34mm        14.1mm  B        180.00 10k            
R6         R0402                  38.2mm          18mm        38.2mm          18mm        38.2mm        18.5mm  T        270.00 10k            
R5         R0402                  50.4mm           2mm        50.4mm           2mm        49.9mm           2mm  B        360.00 240R           
R4         R0402                  52.7mm          16mm        52.7mm          16mm        53.2mm          16mm  T        180.00 240R           
Q7         8_SOIC_3.9MM           65.8mm         7.7mm        65.8mm         7.7mm        68.6mm       5.795mm  T        180.00 SI4816BDY-T1-GE3
Q6         8_SOIC_3.9MM           65.8mm        32.3mm        65.8mm        32.3mm          63mm      34.205mm  T        360.00 SI4816BDY-T1-GE3
Q4         8_SOIC_3.9MM            4.2mm        32.3mm         4.2mm        32.3mm         1.4mm      34.205mm  T        360.00 SI4816BDY-T1-GE3
Q3         8_SOIC_3.9MM            4.2mm         7.7mm         4.2mm         7.7mm           7mm       5.795mm  T        180.00 SI4816BDY-T1-GE3
Q2         SC70_SOT323            29.9mm         2.8mm        29.9mm         2.8mm       30.55mm        3.75mm  T        270.00 2N7002BKW,115  
Q1         SC70_SOT323             8.6mm         2.3mm         8.6mm         2.3mm        7.65mm        1.65mm  B        360.00 2N7002BKW,115  
L5         IHLP_255MILX270MIL          65mm          14mm          65mm          14mm     67.7686mm          14mm  T        180.00 3u3            
L4         IHLP_255MILX270MIL          65mm          26mm          65mm          26mm     62.2314mm          26mm  T        360.00 3u3            
L2         IHLP_255MILX270MIL           5mm          26mm           5mm          26mm           5mm     28.7686mm  T        270.00 3u3            
L1         IHLP_255MILX270MIL           5mm          14mm           5mm          14mm      7.7686mm          14mm  T        180.00 4µ7            
J1         QSH-030-01-L-D-A          28mm        35.2mm          28mm        35.2mm       35.25mm       32.33mm  B         90.00 QSH-030-01-L-D-A
FB7        C0603                  19.9mm        31.8mm        19.9mm        31.8mm       20.65mm        31.8mm  T        180.00 BLM18KG101TN1D 
FB6        C0603                   6.9mm        28.2mm         6.9mm        28.2mm         6.9mm       27.45mm  B         90.00 BLM18KG101TN1D 
FB5        C0402                  11.1mm        34.6mm        11.1mm        34.6mm        11.1mm        35.1mm  B        270.00 BLM15AX601SN1D 
FB4        C0603                    11mm          37mm          11mm          37mm       10.25mm          37mm  B        360.00 BLM18KG101TN1D 
FB3        C0603                   6.7mm        36.1mm         6.7mm        36.1mm        7.45mm        36.1mm  B        180.00 BLM18KG101TN1D 
FB2        C0603                  18.5mm        29.9mm        18.5mm        29.9mm        18.5mm       29.15mm  B         90.00 220R, 2.5A     
FB1        C0603                  21.4mm          10mm        21.4mm          10mm       20.65mm          10mm  B        360.00 220R, 2.5A     
D3         LED_0603               27.7mm         1.9mm        27.7mm         1.9mm        27.7mm         2.7mm  T        270.00 Orange         
D2         LED_0603                8.7mm         2.1mm         8.7mm         2.1mm         8.7mm         1.3mm  T         90.00 Green          
D1         SOD323                  8.5mm         8.1mm         8.5mm         8.1mm      9.7192mm         8.1mm  B        180.00 RB751V-40-TP   
C238       C0402                  60.2mm        17.3mm        60.2mm        17.3mm        60.7mm        17.3mm  B        180.00 100n           
C237       C0402                  60.2mm          20mm        60.2mm          20mm        60.7mm          20mm  B        180.00 10n            
C236       C1206                  58.6mm        18.7mm        58.6mm        18.7mm       60.15mm        18.7mm  T        180.00 100µF          
C235       C1206                  64.1mm        18.9mm        64.1mm        18.9mm       62.55mm        18.9mm  T        360.00 100µF          
C234       C1206                  64.1mm        21.1mm        64.1mm        21.1mm       62.55mm        21.1mm  T        360.00 100µF          
C233       C1206                  58.6mm        21.2mm        58.6mm        21.2mm       60.15mm        21.2mm  T        180.00 100µF          
C232       C1206                  10.1mm          20mm        10.1mm          20mm        10.1mm       21.55mm  T        270.00 100µF          
C231       C0402                  68.2mm        16.1mm        68.2mm        16.1mm        68.7mm        16.1mm  B        180.00 100n           
C230       C0402                    68mm        24.6mm          68mm        24.6mm        67.5mm        24.6mm  B        360.00 100n           
C229       C1206                  63.5mm         2.6mm        63.5mm         2.6mm        63.5mm        4.15mm  T        270.00 10uF           
C228       C1206                  63.5mm        37.4mm        63.5mm        37.4mm        63.5mm       35.85mm  T         90.00 10uF           
C227       C0805                  59.3mm        21.7mm        59.3mm        21.7mm       60.25mm        21.7mm  B        180.00 1uF            
C226       C0402                  60.2mm        18.5mm        60.2mm        18.5mm        60.7mm        18.5mm  B        180.00 1u             
C225       C0402                  68.5mm          20mm        68.5mm          20mm        68.5mm        20.5mm  B        270.00 1u             
C224       C0402                  61.6mm          24mm        61.6mm          24mm        61.6mm        23.5mm  B         90.00 100n           
C223       C0603                  59.6mm        23.7mm        59.6mm        23.7mm       60.35mm        23.7mm  B        180.00 10u            
C222       C0603                  14.9mm         6.3mm        14.9mm         6.3mm        14.9mm        5.55mm  T         90.00 10u            
C221       C0603                  13.3mm         6.3mm        13.3mm         6.3mm        13.3mm        5.55mm  T         90.00 10u            
C220       C1206                  10.1mm           9mm        10.1mm           9mm       11.65mm           9mm  T        180.00 10uF           
C219       C0402                   9.9mm        23.5mm         9.9mm        23.5mm         9.4mm        23.5mm  B        360.00 100n           
C218       C0402                  10.4mm        20.9mm        10.4mm        20.9mm         9.9mm        20.9mm  B        360.00 10n            
C217       C1206                   4.2mm          20mm         4.2mm          20mm         4.2mm       21.55mm  T        270.00 100µF          
C216       C1206                   6.7mm          20mm         6.7mm          20mm         6.7mm       21.55mm  T        270.00 100µF          
C215       C1206                  11.3mm        11.4mm        11.3mm        11.4mm        9.75mm        11.4mm  T        360.00 100µF          
C214       C1206                  11.3mm        16.4mm        11.3mm        16.4mm        9.75mm        16.4mm  T        360.00 100µF          
C213       C1206                  11.3mm        13.9mm        11.3mm        13.9mm        9.75mm        13.9mm  T        360.00 100µF          
C212       C0402                   1.8mm        23.8mm         1.8mm        23.8mm         1.3mm        23.8mm  B        360.00 100n           
C211       C0402                   1.9mm        16.4mm         1.9mm        16.4mm         2.4mm        16.4mm  B        180.00 100n           
C210       C1206                   6.5mm        37.3mm         6.5mm        37.3mm         6.5mm       35.75mm  T         90.00 10uF           
C209       C1206                   6.5mm         2.6mm         6.5mm         2.6mm         6.5mm        4.15mm  T        270.00 10uF           
C208       C0805                  10.7mm        19.2mm        10.7mm        19.2mm        9.75mm        19.2mm  B        360.00 1uF            
C207       C0402                  10.4mm          22mm        10.4mm          22mm         9.9mm          22mm  B        360.00 1u             
C206       C0402                   1.3mm        20.1mm         1.3mm        20.1mm         1.3mm        19.6mm  B         90.00 1u             
C205       C0402                   9.4mm        17.6mm         9.4mm        17.6mm         8.9mm        17.6mm  B        360.00 100n           
C204       C0603                   8.5mm        15.4mm         8.5mm        15.4mm         8.5mm       16.15mm  B        270.00 10u            
C203       C0402                  29.3mm         7.7mm        29.3mm         7.7mm        29.3mm         8.2mm  T        270.00 100n           
C202       C0402                    15mm        31.9mm          15mm        31.9mm          15mm        31.4mm  B         90.00 10n            
C201       C0402                  16.3mm        38.2mm        16.3mm        38.2mm        16.3mm        38.7mm  B        270.00 10n            
C200       C0402                  15.8mm        33.4mm        15.8mm        33.4mm        16.3mm        33.4mm  B        180.00 10n            
C199       C0603                  20.6mm        30.2mm        20.6mm        30.2mm       19.85mm        30.2mm  B        360.00 10u            
C198       C0402                  11.7mm          32mm        11.7mm          32mm        11.7mm        31.5mm  B         90.00 10n            
C197       C0402                   9.2mm        32.5mm         9.2mm        32.5mm         8.7mm        32.5mm  B        360.00 10n            
C196       C0402                  14.2mm        38.2mm        14.2mm        38.2mm        14.2mm        38.7mm  B        270.00 10n            
C195       C0402                   9.2mm        31.5mm         9.2mm        31.5mm         8.7mm        31.5mm  B        360.00 100n           
C194       C0603                   9.1mm        33.8mm         9.1mm        33.8mm        8.35mm        33.8mm  B        360.00 10u            
C193       C0402                  12.7mm          32mm        12.7mm          32mm        12.7mm        31.5mm  B         90.00 10n            
C192       C0402                    14mm          32mm          14mm          32mm          14mm        31.5mm  B         90.00 100n           
C191       C0603                  13.1mm          34mm        13.1mm          34mm       12.35mm          34mm  B        360.00 10u            
C190       C0402                    16mm        31.9mm          16mm        31.9mm          16mm        31.4mm  B         90.00 100n           
C189       C0402                  15.8mm        36.7mm        15.8mm        36.7mm        16.3mm        36.7mm  B        180.00 10n            
C188       C0402                  15.8mm        34.4mm        15.8mm        34.4mm        16.3mm        34.4mm  B        180.00 10n            
C187       C0402                  15.8mm        35.7mm        15.8mm        35.7mm        16.3mm        35.7mm  B        180.00 100n           
C186       C0603                  13.1mm        35.4mm        13.1mm        35.4mm       13.85mm        35.4mm  B        180.00 10u            
C185       C0402                  15.3mm        38.2mm        15.3mm        38.2mm        15.3mm        38.7mm  B        270.00 10n            
C184       C0402                   8.9mm        37.3mm         8.9mm        37.3mm         8.9mm        36.8mm  B         90.00 10n            
C183       C0402                   9.4mm        35.1mm         9.4mm        35.1mm         8.9mm        35.1mm  B        360.00 10n            
C182       C0402                  10.7mm        31.9mm        10.7mm        31.9mm        10.7mm        31.4mm  B         90.00 10n            
C181       C0402                   6.6mm          39mm         6.6mm          39mm         7.1mm          39mm  B        180.00 100n           
C180       C0603                   6.7mm        37.7mm         6.7mm        37.7mm        7.45mm        37.7mm  B        180.00 10u            
C179       C0402                   4.8mm        31.4mm         4.8mm        31.4mm         4.8mm        31.9mm  B        270.00 560pF          
C178       C0603                     5mm          34mm           5mm          34mm           5mm       33.25mm  B         90.00 10u            
C177       C0603                   2.4mm        29.6mm         2.4mm        29.6mm        1.65mm        29.6mm  B        360.00 10u            
C176       C0402                  12.2mm        30.2mm        12.2mm        30.2mm        12.7mm        30.2mm  B        180.00 22pF           
C175       C0402                  14.4mm        30.2mm        14.4mm        30.2mm        13.9mm        30.2mm  B        360.00 22pF           
C174       C0402                  22.7mm        13.7mm        22.7mm        13.7mm        22.7mm        14.2mm  B        270.00 220n           
C173       C0603                  31.8mm        27.1mm        31.8mm        27.1mm       31.05mm        27.1mm  B        360.00 22u            
C172       C0603                  35.7mm        19.6mm        35.7mm        19.6mm       34.95mm        19.6mm  B        360.00 22u            
C171       C0402                  33.5mm        22.9mm        33.5mm        22.9mm          33mm        22.9mm  B        360.00 220n           
C170       C0402                  32.4mm        19.8mm        32.4mm        19.8mm        31.9mm        19.8mm  B        360.00 220n           
C169       C0402                  32.4mm        18.8mm        32.4mm        18.8mm        31.9mm        18.8mm  B        360.00 220n           
C168       C0402                  31.5mm        22.6mm        31.5mm        22.6mm          31mm        22.6mm  B        360.00 220n           
C167       C0402                  31.4mm        25.9mm        31.4mm        25.9mm        30.9mm        25.9mm  B        360.00 220n           
C166       C0402                  24.2mm        27.1mm        24.2mm        27.1mm        24.2mm        26.6mm  B         90.00 220n           
C165       C0402                  20.1mm        24.2mm        20.1mm        24.2mm        20.6mm        24.2mm  B        180.00 220n           
